# Translations for Path of Exile 1.
# The first line defines the order of languages. Every line after contains a translation.
# Append ".png" to the English name to resolve the image name. Language names resolve to flag icons the same way.
English, French, German, Japanese, Portuguese, Russian, Spanish, Thai, Tag
Thaumaturge's Incubator, Incubateur thaumaturgique, Inkubator des Thaumaturgisten, 魔術師のインキュベーター, Incubador do Taumaturgo, Инкубатор волшебника, Incubadora del taumaturgo, ตัวบ่มฟักจอมเวทมณี, thaumaturges-incubator
Veiled Orb, Orbe crypté, Verhüllte Sphäre, 秘匿のオーブ, Orbe Oculto, Скрытая сфера, Orbe encriptado, Veiled Orb, veiled-orb
Deafening Essence of Contempt, Essence assourdissante de Dédain, Ohrenbetäubende Essenz der Verachtung, 慟哭のエッセンス（侮蔑）, Essência da Desgraça Ensurdecedora, Оглушающая сущность презрения, Esencia ensordecedora de desprecio, Deafening Essence of Contempt, deafening-essence-of-contempt
Blessing of Tul, Bénédiction de Tul, Tuls Segnung, トゥルの祝福, Bênção de Tul, Благословение Тул, Bendición de Tul, พรแห่งทุล, blessing-tul
Incursion Scarab of Timelines, Scarabée d'Incursion de la Chronologie, Inkursion-Skarabäus der Zeitlinien, 年表のインカージョンスカラベ, Escaravelho da Incursão das Linhas Temporais, Скарабей Вмешательства хроник, Escarabajo de incursión de líneas de tiempo, สคารับย้อนเวลา แห่งเส้นเวลา, incursion-scarab-of-timelines
Tainted Oil, Huile impure, Verderbtes Öl, 汚染されたオイル, Óleo Contaminado, Заражённое масло, Aceite contaminado, Tainted Oil, tainted-oil
Offering to the Goddess, Offrande à la déesse, Opfergabe an die Göttin, 女神への供物, Oferenda à Deusa, Подношение богине, Ofrenda a la Diosa, เครื่องเซ่นไหว้แด่เทพี, offer
Time-Lost Incubator, Incubateur perdu dans le temps, Vergessener Inkubator, 失われたインキュベーター, Incubador Perdido, Затерянный во времени инкубатор, Incubadora perdida en el tiempo, ตัวบ่มฟักกาลสาบสูญ, time-lost-incubator
Orb of Horizons, Orbe des horizons, Sphäre der Horizonte, 地平のオーブ, Orbe dos Horizontes, Сфера горизонтов, Orbe de horizontes, Orb of Horizons, orb-of-horizons
Maven's Chisel of Proliferation, Burin de la Prodige de la Prolifération, Seherinmeißel der Durchdringung, メイヴェンの増殖のたがね, Cinzel da Maven da Proliferação, Резец Мейвен размножения, Cincel de la Especialista de proliferación, สิ่วเมเวน แห่งการแพร่พันธุ์, mavens-chisel-of-proliferation
