// Currency Translations
// Order: English, French, German, Japanese, Portuguese, Russian, Spanish, Thai

Aberrant Fossil, Fossile anormal, Abweichendes Fossil, 異常な化石, Fóssil Aberrante, Искажённое ископаемое, Fósil aberrante, Aberrant Fossil
Abrasive Catalyst, Catalyseur abrasif, Abschleifender Katalysator, 研磨のカタリスト, Catalisador Abrasivo, Абразивный катализатор, Catalizador abrasivo, Abrasive Catalyst
Abyss Scarab of Edifice, Scarabée de l'Abysse de l'Édifice, Abgrund-Skarabäus des Bauwerks, 殿堂のアビススカラベ, Escaravelho do Abismo do Edifício, Скарабей Бездны строений, Escarabajo de abismo de edificio, สคารับอะบิส แห่งสิ่งปลูกสร้าง
Abyss Scarab of Emptiness, Scarabée de l'Abysse du Vide, Abgrund-Skarabäus der Leere, 空虚のアビススカラベ, Escaravelho do Abismo do Vazio, Скарабей Бездны пустоты, Escarabajo de abismo de vacío, สคารับอะบิส แห่งความว่างเปล่า
Abyss Scarab of Multitudes, Scarabée de l'Abysse des Multitudes, Abgrund-Skarabäus der Vielzahl, 多数のアビススカラベ, Escaravelho do Abismo das Multidões, Скарабей Бездны множеств, Escarabajo de abismo de multitudes, สคารับอะบิส แห่งความมากมาย
Abyss Scarab of Profound Depth, Scarabée de l'Abysse des Profondeurs extrêmes, Abgrund-Skarabäus der enormen Tiefe, 深遠のアビススカラベ, Escaravelho Abissal das Profundezas, Скарабей Бездны бездонности, Escarabajo de abismo de profundidad intensa, สคารับอะบิส แห่งความลึกเหนือพรรณนา
Abyss Scarab, Scarabée de l'Abysse, Abgrund-Skarabäus, アビススカラベ, Escaravelho do Abismo, Скарабей Бездны, Escarabajo de abismo, สคารับอะบิส
Abyssal Delirium Orb, Orbe abyssal de Délire, Abgründige Sphäre des Deliriums, アビスのデリリウムオーブ, Orbe Delirante Abissal, Бездонная сфера Делириума, Orbe de delirio abisal, ลูกแก้วเดลิเรียมเบื้องลึก
Abyssal Incubator, Incubateur abyssal, Abgründiger Inkubator, アビスのインキュベーター, Incubador Abissal, Инкубатор Бездны, Incubadora abisal, ตัวบ่มฟักเบื้องลึก
Accelerating Catalyst, Catalyseur accélérant, Beschleunigender Katalysator, 加速のカタリスト, Catalisador Acelerante, Ускоряющий катализатор, Catalizador acelerador, Accelerating Catalyst
Aetheric Fossil, Fossile éthéré, Ätherisches Fossil, エーテルの化石, Fóssil Etéreo, Эфирное ископаемое, Fósil etéreo, Aetheric Fossil
Al-Hezmin's Crest, Insigne d'Al-Hezmin, Wappen von Al-Hezmin, アルヘズミンの紋章, Coroa de Al-Hezmin, Герб Аль-Хезмина, Emblema de Al-Hezmin, ตราของอัล-เฮซมิน
Amber Oil, Huile ambrée, Bernsteinfarbenes Öl, 琥珀色のオイル, Óleo Âmbar, Янтарное масло, Aceite ámbar, Amber Oil
Ambition, Ambition, Ambition, 野心, Ambição, Стремление, Ambición, Ambition
Ambush Scarab of Containment, Scarabée de l'Embuscade du Confinement, Hinterhalt-Skarabäus der Eindämmung, 格納のアンブッシュスカラベ, Escaravelho da Emboscada da Contenção, Скарабей Засады содержания, Escarabajo de emboscada de contención, สคารับกล่องนิรภัย แห่งการกักเก็บ
Ambush Scarab of Discernment, Scarabée de l'Embuscade du Discernement, Hinterhalt-Skarabäus des Scharfsinns, 眼識のアンブッシュスカラベ, Escaravelho da Emboscada do Discernimento, Скарабей Засады разборчивости, Escarabajo de emboscada de discernimiento, สคารับกล่องนิรภัย แห่งการแยกแยะ
Ambush Scarab of Hidden Compartments, Scarabée de l'Embuscade des Compartiments cachés, Hinterhalt-Skarabäus der verborgenen Fächer, 隠し抽斗のアンブッシュスカラベ, Escaravelho da Emboscada dos Compartimentos Escondidos, Скарабей Засады потайных отсеков, Escarabajo de emboscada de compartimentos ocultos, สคารับกล่องนิรภัย แห่งช่องเร้นลับ
Ambush Scarab of Potency, Scarabée de l'Embuscade de l'Amplification, Hinterhalt-Skarabäus der Stärke, 有効性のアンブッシュスカラベ, Escaravelho da Emboscada da Potência, Скарабей Засады могущества, Escarabajo de emboscada de potencia, สคารับกล่องนิรภัย แห่งศักยภาพ
Ambush Scarab, Scarabée de l'Embuscade, Hinterhalt-Skarabäus, アンブッシュスカラベ, Escaravelho da Emboscada, Скарабей Засады, Escarabajo de emboscada, สคารับกล่องนิรภัย
An Audience With The King, Une Audience avec le Roi, Eine Audienz beim König, 王への謁見, Uma Audiência com o Rei, Встреча с Хозяином, Una audiencia con el rey, เข้าเฝ้าราชัน
Anarchy Scarab of Gigantification, Scarabée d'Anarchie du Gigantisme, Anarchie-Skarabäus der Gigantifizierung, 巨大化のアナーキースカラベ, Escaravelho da Anarquia da Gigantificação, Скарабей Анархии исполинства, Escarabajo de anarquía de gigantificación, สคารับเอ็กไซล์อันธพาล แห่งความมหึมา
Anarchy Scarab of Partnership, Scarabée d'Anarchie du Partenariat, Anarchie-Skarabäus der Partnerschaft, 協力関係のアナーキースカラベ, Escaravelho da Anarquia da Parceria, Скарабей Анархии партнёрства, Escarabajo de anarquía de compañerismo, สคารับเอ็กไซล์อันธพาล แห่งคู่หู
Anarchy Scarab, Scarabée d'Anarchie, Anarchie-Skarabäus, アナーキースカラベ, Escaravelho da Anarquia, Скарабей Анархии, Escarabajo de anarquía, สคารับเอ็กไซล์อันธพาล
Ancient Orb, Orbe antique, Uralte Sphäre, 古代のオーブ, Orbe Ancestral, Древняя сфера, Orbe antiguo, Ancient Orb
Ancient Reliquary Key, Clé du Reliquaire antique, Schlüssel zur Uralten Reliquienkammer, 古代の聖廟の鍵, Chave do Relicário Antigo, Ключ от Древнего Реликвария, Llave del Relicario antiguo, กุญแจคลังวัตถุโบราณเก่าแก่
Ancient Shard, Éclat antique, Uralte Scherbe, 古代の欠片, Lasca Ancestral, Древний осколок, Esquirla antigua, ชิ้นส่วน Ancient
Annulment Shard, Éclat d'annulation, Scherbe der Annullierung, 消去の欠片, Lasca de Anulação, Осколок отмены, Esquirla de anulación, ชิ้นส่วน Annulment
Archive Reliquary Key, Clé des Archives du Reliquaire, Schlüssel zur Archiv-Reliquienkammer, 記録の聖廟の鍵, Chave do Relicário Arquivado, Ключ от Архивного Реликвария, Llave del Relicario de archivos, กุญแจคลังวัตถุโบราณหอบันทึก
Armourer's Scrap, Ferraille d'armurier, Plattnerstück, 鎧鍛冶の端材, Sucata do Armeiro, Деталь доспеха, Restos de armaduras, Armourer's Scrap
Armoursmith's Delirium Orb, Orbe cuirassé de Délire, Gerüstete Sphäre des Deliriums, 鎧鍛冶のデリリウムオーブ, Orbe Delirante do Armeiro, Латная сфера Делириума, Orbe de delirio del armero, ลูกแก้วเดลิเรียมช่างตีเกราะ
Astragali, Astragali, Astragali, 距骨のサイコロ, Astrágalo, Таранные кости, Astrágalo, ลูกเต๋ากระดูก
Awakener's Orb, Orbe de l'Éveilleur, Sphäre des Erweckers, 覚醒者のオーブ, Orbe do Despertar, Сфера Пробудителя, Orbe del despertar, Awakener's Orb
Awakening Fragment, Fragment d'Éveil, Erweckendes Fragment, 覚醒の断片, Fragmento Desperto, Пробуждающий фрагмент, Fragmento del despertar, ชิ้นส่วนจุติ
Azure Oil, Huile azurée, Azurblaues Öl, 淡青色のオイル, Óleo Azul-Celeste, Лазурное масло, Aceite azur, Azure Oil
Baran's Crest, Insigne de Baran, Wappen von Baran, バランの紋章, Coroa de Baran, Герб Бэрана, Emblema de Baran, ตราของบาราน
Beauty, Beauté, Schönheit, 美しさ, Beleza, Красота, Belleza, Beauty
Bestiary Scarab of Duplicating, Scarabée du Bestiaire de la Duplication, Bestien-Skarabäus der Vervielfältigung, 複製のベスティアリースカラベ, Escaravelho do Bestiário da Duplicação, Скарабей Бестиария удвоения, Escarabajo de bestiario de duplicación, สคารับรวมสัตว์ แห่งการสร้างซ้ำ
Bestiary Scarab of the Herd, Scarabée du Bestiaire du Troupeau, Bestien-Skarabäus der Herde, 群れのベスティアリースカラベ, Escaravelho do Bestiário do Rebanho, Скарабей Бестиария стаи, Escarabajo de bestiario de manada, สคารับรวมสัตว์ แห่งฝูงสัตว์
Bestiary Scarab of the Shadowed Crow, Scarabée du Bestiaire de La Mórrigan noire, Bestien-Skarabäus der Schattenkrähe, 影の鴉のベスティアリースカラベ, Escaravelho do Bestiário do Corvo das Sombras, Скарабей Бестиария тёмной вороны, Escarabajo de bestiario de cuervo ensombrecido, สคารับรวมสัตว์ แห่งนกกาเงา
Bestiary Scarab, Scarabée du Bestiaire, Bestien-Skarabäus, ベスティアリースカラベ, Escaravelho do Bestiário, Скарабей Бестиария, Escarabajo de bestiario, สคารับรวมสัตว์
Betrayal Scarab of Intelligence, Scarabée du Syndicat de l'Intelligence, Syndikat-Skarabäus der Informationen, 諜報のビトレイアルスカラベ, Escaravelho da Traição da Inteligência, Скарабей Предательства разведки, Escarabajo de traición de inteligencia, สคารับองค์กรทรยศ แห่งข้อมูลลับ
Betrayal Scarab of Perpetuation, Scarabée du Syndicat de la Perpétuation, Syndikat-Skarabäus der Aufrechterhaltung, 永続化のビトレイアルスカラベ, Escaravelho da Traição da Perpetuação, Скарабей Предательства увековечения, Escarabajo de traición de perpetuidad, สคารับองค์กรทรยศ แห่งการยืดเวลา
Betrayal Scarab of Reinforcements, Scarabée du Syndicat des Renforts, Syndikat-Skarabäus der Verstärkungen, 増援のビトレイアルスカラベ, Escaravelho da Traição dos Reforços, Скарабей Предательства подкреплений, Escarabajo de traición de refuerzos, สคารับองค์กรทรยศ แห่งกำลังเสริม
Betrayal Scarab, Scarabée du Syndicat, Syndikat-Skarabäus, ビトレイアルスカラベ, Escaravelho da Traição, Скарабей Предательства, Escarabajo de traición, สคารับองค์กรทรยศ
Beyond Scarab of Corruption, Scarabée d'Ailleurs de la Corruption, Jenseits-Skarabäus der Verderbnis, 穢れのビヨンドスカラベ, Escaravelho do Além da Corrupção, Скарабей Иномирья осквернения, Escarabajo del más allá de corrupción, สคารับต่างมิติ แห่งพลังมลทิน
Beyond Scarab of Haemophilia, Scarabée d'Ailleurs de l'Hémophilie, Jenseits-Skarabäus der Hämophilie, 血友病のビヨンドスカラベ, Escaravelho do Além da Hemofilia, Скарабей Иномирья кровопотери, Escarabajo del más allá de hemofilia, สคารับต่างมิติ แห่งฮีโมฟิเลีย
Beyond Scarab of Resurgence, Scarabée d'Ailleurs de la Résurgence, Jenseits-Skarabäus der Wiederauferstehung, 復活のビヨンドスカラベ, Escaravelho do Além do Ressurgimento, Скарабей Иномирья возрождения, Escarabajo del más allá de resurgencia, สคารับต่างมิติ แห่งการฟื้นคืน
Beyond Scarab of the Invasion, Scarabée d'Ailleurs de l'Invasion, Jenseits-Skarabäus der Invasion, 侵略のビヨンドスカラベ, Escaravelho do Além da Invasão, Скарабей Иномирья вторжения, Escarabajo del más allá de invasión, สคารับต่างมิติ แห่งการรุกราน
Beyond Scarab, Scarabée d'Ailleurs, Jenseits-Skarabäus, ビヨンドスカラベ, Escaravelho do Além, Скарабей Иномирья, Escarabajo del más allá, สคารับต่างมิติ
Binding Shard, Éclat de liaison, Bindungsscherbe, 連結の欠片, Lasca da Ligação, Осколок сплетения, Esquirla de vinculación, ชิ้นส่วน Binding
Black Oil, Huile ébène, Schwarzes Öl, 黒色のオイル, Óleo Negro, Чёрное масло, Aceite negro, Black Oil
Blacksmith's Delirium Orb, Orbe forgé de Délire, Geschmiedete Sphäre des Deliriums, 鍛冶屋のデリリウムオーブ, Orbe Delirante do Ferreiro, Кузнечная сфера Делириума, Orbe de delirio del herrero, ลูกแก้วเดลิเรียมช่างตีเหล็ก
Blacksmith's Whetstone, Pierre à aiguiser de forgeron, Schleifstein, 鍛冶屋の砥石, Amolador do Ferreiro, Точильный камень, Piedra de afilar, Blacksmith's Whetstone
